#,Date,Time,Sender,Sender type,Message type,Media count,Theme(s),Text content
21,04/02/26,12:26 pm,Mehak Janaagraha,Janagraha,text,0,CLDP Programme Engagement,The 16th Finance Commission will provide 52% untied grant for next 5 years. Up to 20% of untied funds can be spent on road construction.
22,13/02/26,10:10 am,Mehak Janaagraha,Janagraha,media+text,1,CLDP Programme Engagement,XVI FC Delivers Historic Win for Indias Cities\! [Article link: https://bit.ly/4rznY5u]
23,02/03/26,10:52 am,shinjini,Janagraha,text,0,CLDP Programme Engagement,Financial independence of our urban body is essential. OSR is money via property tax and user charges. POLL: Best way to increase ward income? Digital Survey (0) / Awareness Campaign (2) / User Fee for waste (1) / Online Payment (0)
24,04/03/26,9:19 am,+XX XXXXX X0519,Councillor,media+text,1,Greetings & Celebrations,Happy Holi\! Kamalavati Devi Ward 23 Madhavpuram
25,04/03/26,11:47 am,+XX XXXXX X4194,Councillor,media,1,Greetings & Celebrations,
26,25/03/26,5:47 pm,Mehak Janaagraha,Janagraha,text,0,CLDP Programme Engagement,POLL: Which term is this for you as a councillor? First (1) / Second (4) / Third (2) / Fourth (0) / More than 4 (1)
27,26/03/26,12:46 pm,+XX XXXXX X6461,Councillor,text,0,Community / General,Contact details shared: Seema XXXXXX9837 / Sontara XXXXXX2403 / Sarafat XXXXXX5768 / Tasleem XXXXXX8085
28,28/03/26,9:34 am,+XX XXXXX X6461,Councillor,media+text,2,Community / General,[Two media files + YouTube: https://youtu.be/5SSacJtiWwk]
29,30/03/26,11:19 am,shinjini,Janagraha,media+text,1,CLDP Programme Engagement,Thank you for attending the CLDP Leadership Meet in Delhi. Your presence made it meaningful and memorable. [Photo from event]
30,30/03/26,11:34 am,+XX XXXXX X6461,Councillor,text,0,CLDP Programme Engagement,[thumbs up]
31,30/03/26,12:07 pm,+XX XXXXX X9837,Councillor,text,0,CLDP Programme Engagement,[thumbs up]
32,30/03/26,12:12 pm,+XX XXXXX X0635,Councillor,text,0,CLDP Programme Engagement,Janagraha is providing very good training to representatives. A very good impact on working style can be seen. Thank you to all Janagraha officials.
33,30/03/26,6:44 pm,Sarita,Councillor,text,0,CLDP Programme Engagement,The training given by Janagraha to elected representatives is very commendable. I want to thank the entire Janagraha team who welcomed us so warmly.
34,30/03/26,6:49 pm,+XX XXXXX X8085,Councillor,text,0,CLDP Programme Engagement,Janagraha has trained all representatives very well. I am heartily grateful and will try every possible effort to attend every future meeting.
35,31/03/26,5:12 pm,+XX XXXXX X0812,Councillor,text,0,CLDP Programme Engagement,Thank you for hosting such an insightful CLDP leadership meet in Delhi
36,10/04/26,9:11 pm,+XX XXXXX X6461,Councillor,media,1,Community / General,
37,11/04/26,12:30 am,+XX XXXXX X9837,Councillor,text,0,CLDP Programme Engagement,[clapping emoji]
